ID,age,education,seniority,address_year,income,debt_ratio,Credit_card_debt,other_debt,is_default
sugo001,41,3,17,12,176,9.3,11.359392,5.008608,Y
sugo002,27,1,10,6,31,17.3,1.362202,4.000798,N
sugo003,40,1,15,14,55,5.5,0.856075,2.168925,N
sugo004,41,1,15,14,120,2.9,2.65872,0.82128,N
sugo005,24,2,2,0,28,17.3,1.787436,3.056564,Y
sugo006,41,2,5,5,25,10.2,0.3927,2.1573,N
sugo007,39,1,20,9,67,30.6,3.833874,16.668126,N
sugo008,43,1,12,11,38,3.6,0.128592,1.239408,N
sugo009,24,1,3,4,19,24.4,1.358348,3.277652,Y
sugo010,36,1,0,13,25,19.7,2.7777,2.1473,N
sugo011,27,1,0,1,16,1.7,0.182512,0.089488,N
sugo012,25,1,4,0,23,5.2,0.252356,0.943644,N
sugo013,52,1,24,14,64,10,3.9296,2.4704,N
sugo014,37,1,6,9,29,16.3,1.715901,3.011099,N
sugo015,48,1,22,15,100,9.1,3.7037,5.3963,N
sugo016,36,2,9,6,49,8.6,0.817516,3.396484,Y
sugo017,36,2,13,6,41,16.4,2.918216,3.805784,Y
sugo018,43,1,23,19,72,7.6,1.181952,4.290048,N
sugo019,39,1,6,9,61,5.7,0.563274,2.913726,N
sugo020,41,3,0,21,26,1.7,0.099008,0.342992,N
sugo021,39,1,22,3,52,3.2,1.154816,0.509184,N
sugo022,47,1,17,21,43,5.6,0.587552,1.820448,N
sugo023,28,1,3,6,26,10,0.4316,2.1684,N
sugo024,29,1,8,6,27,9.8,0.402192,2.243808,N
sugo025,21,2,1,2,16,18,0.24192,2.63808,Y
sugo026,25,4,0,2,32,17.6,2.14016,3.49184,N
sugo027,45,2,9,26,69,6.7,0.707319,3.915681,N
sugo028,43,1,25,21,64,16.7,0.951232,9.736768,N
sugo029,33,2,12,8,58,18.4,3.084208,7.587792,N
sugo030,26,3,2,1,37,14.2,0.204906,5.049094,N
sugo031,45,1,3,15,20,2.1,0.105,0.315,N
sugo032,30,1,1,10,22,10.5,1.13883,1.17117,N
sugo033,27,3,2,7,26,6,0.72228,0.83772,N
sugo034,25,1,8,4,27,14.4,1.018656,2.869344,N
sugo035,25,1,8,1,35,2.9,0.07714,0.93786,N
sugo036,26,2,6,7,45,26,6.0489,5.6511,N
sugo037,30,2,10,4,22,16.1,1.409716,2.132284,N
sugo038,32,2,12,1,54,14.4,3.195936,4.580064,N
sugo039,28,2,1,8,24,17.1,1.337904,2.766096,Y
sugo040,45,1,23,5,50,4.2,0.5586,1.5414,N
sugo041,23,1,7,2,31,6.6,0.33759,1.70841,N
sugo042,34,1,17,3,59,8,1.80776,2.91224,N
sugo043,42,2,7,23,41,4.6,0.941114,0.944886,N
sugo044,39,1,19,5,48,13.1,1.930416,4.357584,N
sugo045,26,1,0,0,14,7.5,0.3024,0.7476,Y
sugo046,21,2,0,1,16,6.8,0.150144,0.937856,N
sugo047,35,1,13,15,35,4.5,0.43155,1.14345,N
sugo048,47,1,4,2,26,10.4,0.12168,2.58232,N
sugo049,23,2,0,2,21,11.4,0.775656,1.618344,Y
sugo050,35,1,18,2,42,7.4,0.205128,2.902872,N
sugo051,34,1,2,11,25,12.6,0.5733,2.5767,Y
sugo052,46,1,1,12,20,14,0.8092,1.9908,N
sugo053,46,1,16,18,52,12.9,3.032016,3.675984,Y
sugo054,38,3,3,18,25,3.7,0.311725,0.613275,N
sugo055,40,2,3,2,28,9.5,0.55328,2.10672,N
sugo056,37,1,1,3,24,15.1,1.801128,1.822872,Y
sugo057,35,1,9,1,34,5,0.3978,1.3022,N
sugo058,39,2,16,13,69,2.4,1.061496,0.594504,N
sugo059,40,3,18,6,100,2.5,1.485,1.015,N
sugo060,50,3,10,20,80,12.2,2.47904,7.28096,N
sugo061,31,1,9,10,28,2.4,0.047712,0.624288,N
sugo062,29,1,13,1,42,7.4,1.457652,1.650348,Y
sugo063,37,1,4,0,23,12.4,0.86986,1.98214,N
sugo064,33,2,4,9,55,7,2.15985,1.69015,N
sugo065,26,2,5,7,28,7.8,1.024296,1.159704,N
sugo066,32,2,11,6,75,23.3,7.7589,9.7161,Y
sugo067,28,2,2,3,23,6.4,0.186944,1.285056,Y
sugo068,39,1,19,8,46,9.1,2.515786,1.670214,N
sugo069,28,2,8,3,31,8.2,1.492154,1.049846,Y
sugo070,29,1,1,2,20,18.6,0.56916,3.15084,Y
sugo071,34,2,3,8,21,23.1,1.401939,3.449061,N
sugo072,28,2,5,9,34,23.8,3.099236,4.992764,N
sugo073,47,1,26,21,100,12.8,4.5824,8.2176,N
sugo074,43,4,1,5,26,10.6,1.518556,1.237444,N
sugo075,41,1,13,10,44,1.7,0.07106,0.67694,N
sugo076,47,1,13,25,51,23.8,3.738504,8.399496,N
sugo077,24,1,2,1,21,0.6,0.025074,0.100926,N
sugo078,29,1,1,9,17,6.7,0.157182,0.981818,N
sugo079,33,1,14,2,37,2.6,0.199134,0.762866,N
sugo080,36,1,15,10,39,3.2,0.6864,0.5616,N
sugo081,26,1,4,3,27,10.5,2.47212,0.36288,Y
sugo082,31,1,11,12,45,17,2.7387,4.9113,N
sugo083,37,1,7,3,32,19.6,2.69696,3.57504,N
sugo084,35,4,4,16,29,11,1.84382,1.34618,N
sugo085,26,1,4,3,20,5.4,0.3186,0.7614,N
sugo086,40,1,10,15,45,18.8,2.01348,6.44652,N
sugo087,29,2,5,4,36,12.4,3.490848,0.973152,Y
sugo088,37,3,5,17,29,24.6,1.405398,5.728602,N
sugo089,32,1,12,12,28,2.9,0.116116,0.695884,N
sugo090,23,2,0,1,17,27.7,2.043706,2.665294,Y
sugo091,32,1,3,10,23,6.2,0.052762,1.373238,N
sugo092,25,1,1,6,15,11.4,0.37107,1.33893,Y
sugo093,38,1,5,5,54,10.6,1.499688,4.224312,N
sugo094,32,2,0,6,18,5.8,0.296496,0.747504,Y
sugo095,41,3,2,0,15,26.3,1.960665,1.984335,Y
sugo096,36,1,17,6,54,4.4,0.727056,1.648944,N
sugo097,42,3,13,0,82,3.3,1.315116,1.390884,N
sugo098,41,1,14,8,52,7.3,0.926224,2.869776,N
sugo099,29,2,4,9,19,6.3,0.681093,0.515907,N
sugo100,38,3,4,6,31,9.3,1.331946,1.551054,Y
sugo101,39,1,22,9,113,2.6,0.987168,1.950832,N
sugo102,36,1,6,9,26,8.3,0.030212,2.127788,N
sugo103,33,1,8,7,27,5.8,0.776736,0.789264,N
sugo104,42,2,21,11,121,3.1,1.365364,2.385636,N
sugo105,41,2,22,17,75,23.6,9.8766,7.8234,N
sugo106,40,1,8,17,28,3.6,0.53424,0.47376,N
sugo107,53,1,9,18,50,11.2,2.016,3.584,Y
sugo108,28,1,4,7,26,13.5,1.29519,2.21481,N
sugo109,36,2,12,13,60,7.9,1.72062,3.01938,N
sugo110,34,2,9,13,45,10.1,1.11807,3.42693,N
sugo111,45,3,2,5,39,4.9,0.45864,1.45236,N
sugo112,38,1,6,0,41,8.9,0.266377,3.382623,N
sugo113,21,3,0,2,24,7.7,0.833448,1.014552,N
sugo114,42,1,12,11,51,21.4,2.411994,8.502006,N
sugo115,52,1,16,25,64,8.6,1.865856,3.638144,N
sugo116,25,2,4,6,33,5.2,0.552552,1.163448,N
sugo117,34,2,9,9,65,6.2,2.10769,1.92231,N
sugo118,40,2,15,16,73,3.4,1.032512,1.449488,N
sugo119,31,2,0,4,27,12.8,1.08864,2.36736,Y
sugo120,25,1,1,0,20,6.7,0.47168,0.86832,Y
sugo121,45,1,12,19,37,9.5,1.34273,2.17227,N
sugo122,23,1,3,0,19,8.4,0.2793,1.3167,Y
sugo123,34,4,6,3,27,35.3,1.982448,7.548552,Y
sugo124,31,1,2,4,22,12.7,1.092454,1.701546,Y
sugo125,28,1,5,9,22,2.8,0.140448,0.475552,N
sugo126,41,1,7,11,43,4.4,0.694364,1.197636,N
sugo127,39,2,7,2,68,13,1.0166,7.8234,Y
sugo128,29,2,9,3,36,1.4,0.127008,0.376992,N
sugo129,21,1,5,1,25,9,0.36675,1.88325,N
sugo130,41,2,19,2,68,5.8,1.506608,2.437392,N
